tweet_id,timestamp,text,impressions,likes,replies,retweets,profile_visits,followers_at_post,media_type,hashtags,is_reply,is_thread
10000197,2025-11-03 07:15:17.009569,Sharing my favorite productivity hack,2460,61,6,6,368,1000,video,"marketing,branding",0,0
10000062,2025-11-03 08:16:04.906825,Sharing my favorite productivity hack,3093,279,7,34,167,1008,none,"growth,ai",0,1
10000342,2025-11-03 12:48:54.461802,Sharing some thoughts on growth and marketing,1499,146,8,6,43,1016,image,,0,1
10000264,2025-11-03 18:24:26.308306,Daily coding progress update,2265,213,3,11,79,1024,video,"coding,learning",0,1
10000145,2025-11-03 21:08:10.595720,Daily coding progress update,9479,815,36,160,161,1032,image,,0,0
10000171,2025-11-03 21:45:00.097194,What do you think about this idea?,316,26,1,5,49,1040,video,"growth,ai",0,0
10000478,2025-11-03 22:58:32.470192,Experimenting with different posting times,13030,1096,86,227,2070,1048,gif,"growth,ai",0,0
10000184,2025-11-03 23:30:28.956178,New blog post is live now!,2998,282,28,39,476,1056,link,"coding,learning",0,0
10000006,2025-11-03 23:57:16.275176,Daily coding progress update,383,12,2,2,41,1064,gif,"growth,ai",0,0
10000050,2025-11-04 01:38:24.642805,Experimenting with different posting times,2916,170,20,38,552,1072,gif,"growth,ai",1,1
10000441,2025-11-04 02:09:13.908918,Here is a short thread on learning Python,4997,78,25,75,626,1080,gif,"python,data",0,0
10000259,2025-11-04 02:58:42.754510,Here is a short thread on learning Python,2296,48,12,9,234,1088,gif,"growth,ai",1,0
10000299,2025-11-04 06:08:19.764081,Experimenting with different posting times,712,54,5,5,115,1096,link,"growth,ai",1,1
10000252,2025-11-04 11:00:57.542438,Quick tip for data science beginners,671,11,2,12,38,1104,video,"startups,founder",0,1
10000162,2025-11-04 11:36:00.889136,Quick tip for data science beginners,2239,193,19,33,378,1112,none,"coding,learning",0,0
10000063,2025-11-04 12:23:53.305445,Trying out a new AI tool,1465,121,13,28,224,1120,none,"coding,learning",0,0
10000413,2025-11-04 14:47:08.256715,New blog post is live now!,305,6,1,6,26,1128,gif,"startups,founder",0,1
10000358,2025-11-04 15:08:41.897923,Building a side project this weekend,2411,239,4,4,44,1136,gif,"startups,founder",0,0
10000483,2025-11-04 15:18:57.251246,Experimenting with different posting times,3586,282,23,56,62,1144,image,"python,data",1,0
10000329,2025-11-04 18:15:20.860601,Sharing my favorite productivity hack,2971,112,24,57,493,1152,gif,"coding,learning",0,0
10000254,2025-11-04 21:22:47.812604,Building a side project this weekend,3533,47,27,48,573,1160,gif,"growth,ai",0,0
